ID,NAME,CVSS_VERSION,RDBMS_VERSION
1,MySQL,3.1,8.4.0
2,MySQL,3.1,8.3.0
3,MySQL,3.1,8.0.34
4,MySQL,3.1,8.0.30
5,MySQL,3.1,5.1.48
6,PostgreSQL,2,8.3.18
7,PostgreSQL,3.1,12
8,PostgreSQL,2,9.3.3
9,PostgreSQL,2,7.2.1
10,PostgreSQL,2,6.5.0
11,MSSQLSERVER,3.1,15
12,MSSQLSERVER,2,7
13,MSSQLSERVER,2,11
14,MSSQLSERVER,2,5
15,MSSQLSERVER,2,6.5
16,OracleDB,3.1,23.4
17,OracleDB,3.1,20.1
18,OracleDB,3.1,12.2.0.1
19,OracleDB,3.1,5.1
20,OracleDB,3,11.2.0.4
21,MariaDB,3.1,15.5.0
22,MariaDB,3.1,23.02.3
23,MariaDB,3.1,10.9.3
24,MariaDB,3.1,10.9.2
25,MariaDB,3.1,10.5
